df_index,stream,Zscore,district_rank,island_rank,al_year,sub1,sub1_r,sub2,sub2_r,sub3,sub3_r,cgt_r,ge_r,syllabus,birth_day,birth_month,birth_year,gender
15370,COMMERCE,1.5229,886 (NEW),3518,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,A,new,4,July,2001,female
15380,COMMERCE,1.5548,821 (NEW),3212,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,19,June,2001,female
15394,ARTS,1.4391,568 (NEW),6219,2020,POLITICAL SCIENCE,A,ISLAMIC CIVILIZATION,A,ARABIC,A,046,A,new,31,January,2003,female
15396,COMMERCE,1.5981,740 (NEW),2800,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,034,A,new,12,June,2001,female
15607,COMMERCE,1.498,934 (NEW),3786,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,22,September,2001,female
15608,COMMERCE,1.5696,788 (NEW),3061,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,038,A,new,5,September,2001,female
15612,COMMERCE,1.3061,1399 (NEW),6060,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,A,new,9,March,2000,female
15622,COMMERCE,1.6306,678 (NEW),2551,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,A,new,14,February,2001,female
15630,COMMERCE,1.6318,676 (NEW),2545,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,A,new,1,September,2001,female
15634,ARTS,1.4688,532 (NEW),5658,2020,GEOGRAPHY,A,COMMUNICATION & MEDIA STUDIES,A,ISLAMIC CIVILIZATION,A,060,A,new,2,October,2001,female
15667,COMMERCE,1.469,991 (NEW),4075,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,4,April,2001,female
16069,COMMERCE,1.5606,806 (NEW),3147,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,9,April,2001,female
16079,COMMERCE,1.4871,954 (NEW),3895,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,A,new,16,June,2001,female
16099,COMMERCE,1.5556,819 (NEW),3202,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,B,new,30,July,2001,female
16139,COMMERCE,1.4353,1079 (NEW),4477,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,B,new,9,April,2001,female
16165,COMMERCE,1.5223,887 (NEW),3523,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,20,September,2000,female
16187,COMMERCE,1.3574,1252 (NEW),5412,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,20,February,2001,female
16193,COMMERCE,1.3876,1185 (NEW),5045,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,038,A,new,10,July,2001,female
16329,ARTS,1.2416,846 (NEW),10496,2020,ECONOMICS,A,DANCING(INDIGENOUS),A,SINHALA,A,056,C,new,28,October,2001,female
16601,COMMERCE,1.5203,890 (NEW),3537,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,B,new,16,February,2001,male
16649,COMMERCE,1.4694,988 (NEW),4066,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,F,new,2,October,2001,male
16688,COMMERCE,1.3876,1185 (NEW),5045,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,19,May,2000,male
16866,ARTS,1.6343,365 (NEW),3235,2020,COMMUNICATION & MEDIA STUDIES,A,DANCING(INDIGENOUS),A,DRAMA AND THEATRE (SINHALA),A,038,F,new,12,June,2001,female
16935,COMMERCE,1.4814,964 (NEW),3952,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,S,new,10,July,2001,female
16945,COMMERCE,1.4673,998 (NEW),4098,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,C,new,23,March,2000,male
17000,COMMERCE,1.4621,1017 (NEW),4155,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,A,new,21,August,2001,male
17026,COMMERCE,1.4974,936 (NEW),3793,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,C,new,1,May,2001,male
17661,COMMERCE,1.4473,1053 (NEW),4321,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,C,new,8,February,2001,female
17834,ARTS,1.451,554 (NEW),5987,2020,HISTORY OF SRI LANKA & INDIA,A,CHRISTIANITY,A,SINHALA,A,032,S,new,2,November,2001,female
18827,ARTS,1.4868,510 (NEW),5333,2020,GEOGRAPHY,A,DANCING(INDIGENOUS),A,SINHALA,A,044,S,new,19,October,2001,female
18908,COMMERCE,1.5184,896 (NEW),3555,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,038,C,new,31,January,2002,female
19002,COMMERCE,1.563,802 (NEW),3120,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,C,new,10,January,2002,female
